feature,importance
前120天该资源类型点击量：url,645
前120天该资源类型点击量：repeatactivity,599
前120天平均每活跃日点击量,573
前120天平均每条点击日志点击量,418
前120天该资源类型点击量：sharedsubpage,261
前120天该资源类型点击量：questionnaire,209
前120天该资源类型点击量：quiz,206
前120天该资源类型点击量：subpage,138
前120天活跃天数,122
年龄段,93
前120天该资源类型点击量：page,76
课程模块代码,67
前120天该资源类型点击量：htmlactivity,50
课程开始前点击量,49
前120天已参与考核权重合计,44
前120天总点击量,43
前120天该资源类型点击量：glossary,40
地区贫困指数分位段,39
课程第0-30天点击量,37
地区,35
